ID Factura,Nombre Cliente,Genero,Pais,Precio USD,Unidades Vendidas,Fecha Venta,Familia de Productos
INV2023010001,Daniel Sparks,Femenino,Alemania,754.09,9,2023-01-01,Desktops
INV2023010002,Teresa Baldwin,Femenino,Canada,871.35,8,2023-01-01,Cámaras
INV2023010003,Amanda Jones,Femenino,Mexico,439.92,8,2023-01-01,Laptops
INV2023010004,Kelsey Robinson,Femenino,Brasil,766.17,8,2023-01-01,Smartphones
INV2023010005,Katherine Richardson,No especificado,Brasil,542.82,1,2023-01-01,Tablets
INV2023010006,Ronald Odonnell,No especificado,Alemania,806.48,8,2023-01-01,Cámaras
INV2023010007,Lori White,Femenino,Francia,933.19,6,2023-01-01,Laptops
INV2023010008,Amy Zimmerman,No especificado,Argentina,226.81,7,2023-01-01,Laptops
INV2023010009,Donald Mcfarland,Femenino,Argentina,628.29,5,2023-01-01,Cámaras
INV2023010010,Matthew Mckinney,No especificado,Mexico,510.94,8,2023-01-01,Televisores
INV2023010011,Samantha Chavez,No especificado,Argentina,779.18,5,2023-01-01,Smartphones
INV2023010012,Juan Crawford,No especificado,Canada,956.61,4,2023-01-01,Laptops
INV2023010013,Melissa Torres,No especificado,Brasil,398.27,1,2023-01-01,Tablets
INV2023010014,Christopher Glover,Femenino,Argentina,505.78,1,2023-01-01,Desktops
INV2023010015,Tracy Webb,Femenino,Argentina,346.49,7,2023-01-01,Laptops
INV2023010016,Danny Green,Masculino,Italia,646.64,10,2023-01-01,Desktops
INV2023010017,Maria Jones,No especificado,Canada,165.99,2,2023-01-01,Cámaras
INV2023010018,William Hays,No especificado,Argentina,416.57,2,2023-01-01,Cámaras
INV2023010019,Veronica King,No especificado,Colombia,537.53,3,2023-01-01,Tablets
INV2023010020,Aaron Norris,No especificado,Mexico,54.34,7,2023-01-01,Cámaras
INV2023010021,Joanna Hayden,Masculino,USA,194.27,9,2023-01-01,Desktops
INV2023010022,Nicholas Wright,No especificado,Brasil,318.54,5,2023-01-01,Desktops
INV2023010023,Terri Wilson,Femenino,Brasil,407.42,9,2023-01-01,Smartphones
INV2023010024,David Thompson,No especificado,Francia,859.15,2,2023-01-01,Tablets
INV2023010025,Steven Allen,No especificado,Brasil,431.53,10,2023-01-01,Desktops
INV2023010026,Cynthia Kirk,Femenino,Francia,429.33,10,2023-01-01,Tablets
INV2023010027,Shelley Lewis,No especificado,España,599.61,7,2023-01-01,Laptops
INV2023010028,James House,Masculino,Alemania,705.74,6,2023-01-01,Tablets
INV2023010029,Jeffrey Lawrence,No especificado,Francia,797.86,7,2023-01-01,Smartphones
INV2023010030,Renee Hensley,Femenino,Italia,101.85,3,2023-01-01,Smartphones
INV2023010031,John Ellis,Masculino,Argentina,184.22,8,2023-01-01,Cámaras
INV2023010032,Martin Lawson,Masculino,Francia,185.13,2,2023-01-01,Smartphones
INV2023010033,Chloe Stevenson,Masculino,Brasil,128.89,9,2023-01-01,Desktops
INV2023010034,Julie Davis MD,Femenino,Alemania,159.87,3,2023-01-01,Televisores
INV2023010035,Cindy Rogers,No especificado,Italia,161.87,5,2023-01-01,Smartphones
INV2023010036,Ronald Michael,Masculino,Argentina,492.09,2,2023-01-01,Cámaras
INV2023010037,Troy Olsen,No especificado,Canada,860.08,9,2023-01-01,Smartphones
INV2023010038,Lindsey Wright,Masculino,Brasil,318.84,6,2023-01-01,Laptops
INV2023010039,Stacey Pratt,No especificado,Italia,545.88,1,2023-01-01,Televisores
INV2023010040,Kimberly Rojas,Masculino,Alemania,873.04,5,2023-01-01,Smartphones
INV2023010041,Tara Taylor,No especificado,España,788.61,9,2023-01-01,Laptops
INV2023010042,Laura Holden,Masculino,Alemania,360.13,8,2023-01-01,Consolas
INV2023010043,Kelly Martinez,Femenino,Brasil,201.32,4,2023-01-01,Consolas
INV2023010044,Jessica Kane,No especificado,Mexico,523.46,7,2023-01-01,Smartphones
INV2023010045,Brett Brandt,Masculino,USA,903.43,8,2023-01-01,Smartphones
INV2023010046,Jerry Palmer,No especificado,Italia,736.02,8,2023-01-01,Consolas
INV2023010047,Lori Lyons,Masculino,Canada,122.97,8,2023-01-01,Televisores
INV2023010048,Sara Buck,Femenino,Argentina,528.97,10,2023-01-01,Tablets
INV2023010049,Lisa Stevenson,Femenino,Francia,834.63,4,2023-01-01,Consolas
INV2023010050,Katelyn Jones,Femenino,Colombia,235.28,2,2023-01-01,Cámaras
INV2023010051,Lauren Moreno,Masculino,Alemania,362.4,7,2023-01-01,Tablets
INV2023010052,James Harris,Femenino,Alemania,448.32,5,2023-01-01,Laptops
INV2023010053,Brittany Ford,Femenino,Colombia,418.93,8,2023-01-01,Cámaras
INV2023010054,Ronald Hogan,Femenino,USA,229.1,3,2023-01-01,Tablets
INV2023010055,Clarence Hayes,Femenino,Italia,417.7,5,2023-01-01,Televisores
INV2023010056,Brianna Thomas,Femenino,Mexico,585.55,8,2023-01-01,Televisores
INV2023010057,Michael Diaz,Masculino,Colombia,715.79,8,2023-01-01,Cámaras
INV2023010058,Jennifer Bailey,Masculino,Canada,855.73,8,2023-01-01,Cámaras
INV2023010059,Denise Rivas,Masculino,Alemania,395.51,2,2023-01-01,Laptops
INV2023010060,Lynn Perez,No especificado,España,414.33,9,2023-01-01,Cámaras
INV2023010061,Gerald Duncan,No especificado,Colombia,392.01,5,2023-01-01,Consolas
INV2023010062,Carla Mcdaniel,Masculino,Alemania,728.34,6,2023-01-01,Tablets
INV2023010063,David Montes,Masculino,Canada,886.67,5,2023-01-01,Desktops
INV2023010064,Michelle Williams,Femenino,Brasil,448.48,8,2023-01-01,Cámaras
INV2023010065,Andrew Heath,Masculino,Mexico,77.25,1,2023-01-01,Desktops
INV2023010066,Jesse Lopez,No especificado,Italia,631.95,5,2023-01-01,Smartphones
INV2023010067,Jeffrey Lee,Masculino,Alemania,852.22,1,2023-01-01,Laptops
INV2023010068,Robert Coffey,Femenino,Mexico,161.55,8,2023-01-01,Televisores
INV2023010069,Kathryn Olson PhD,Masculino,Colombia,975.17,2,2023-01-01,Desktops
INV2023010070,Jessica Anderson,Masculino,Italia,561.36,9,2023-01-01,Laptops
INV2023010071,Richard Solis,Masculino,Canada,326.69,4,2023-01-01,Tablets
INV2023010072,Michael Kelley,Femenino,Brasil,664.79,7,2023-01-01,Televisores
INV2023010073,Walter Mcknight,Masculino,Brasil,697.68,9,2023-01-01,Smartphones
INV2023010074,Cathy Reese,Femenino,España,843.11,10,2023-01-01,Tablets
INV2023010075,Amanda Gonzalez,Masculino,Mexico,304.61,1,2023-01-01,Laptops
INV2023010076,Jill Quinn,Femenino,Alemania,657.41,10,2023-01-01,Consolas
INV2023010077,Rachel Dunn,Masculino,Brasil,727.12,5,2023-01-01,Smartphones
INV2023010078,Scott Barrett,Masculino,Brasil,385.48,9,2023-01-01,Tablets
INV2023010079,Fred Peterson,No especificado,Italia,239.62,8,2023-01-01,Desktops
INV2023010080,Deborah Sanchez,No especificado,Argentina,659.95,9,2023-01-01,Televisores
INV2023010081,Christopher Adams,Masculino,Alemania,235.07,6,2023-01-01,Desktops
INV2023010082,Sandy Villarreal,No especificado,Brasil,685.24,1,2023-01-01,Consolas
INV2023010083,Matthew Porter,No especificado,Colombia,744.15,10,2023-01-01,Cámaras
INV2023010084,Kim Wolfe,Masculino,Alemania,591.29,6,2023-01-01,Televisores
INV2023010085,Terri Reed,No especificado,Francia,121.06,7,2023-01-01,Consolas
INV2023010086,Thomas Hudson,Femenino,Alemania,472.49,2,2023-01-01,Cámaras
INV2023010087,Tammy Martin,No especificado,Francia,588.24,6,2023-01-01,Desktops
INV2023010088,Michelle Sims,Femenino,Italia,120.7,3,2023-01-01,Cámaras
INV2023010089,Christopher Gonzalez,No especificado,Brasil,467.03,9,2023-01-01,Smartphones
INV2023010090,Jason Franklin,Femenino,Colombia,974.28,10,2023-01-01,Televisores
INV2023010091,Allison Gibbs,Masculino,Colombia,967.21,10,2023-01-01,Consolas
INV2023010092,Michele Hernandez,Femenino,Francia,65.16,7,2023-01-01,Desktops
INV2023010093,Lindsey Flores,Femenino,España,727.04,4,2023-01-01,Consolas
INV2023010094,Nancy Tucker,Femenino,Italia,772.01,7,2023-01-01,Consolas
INV2023010095,Paul Richardson,Masculino,España,971.76,3,2023-01-01,Cámaras
INV2023010096,Alexis Guerrero,Femenino,Argentina,236.17,4,2023-01-01,Consolas
INV2023010097,Hannah Stanley,No especificado,USA,432.48,7,2023-01-01,Smartphones
INV2023010098,Melinda Jones,Masculino,Francia,532.0,4,2023-01-01,Smartphones
INV2023010099,Julie Wilson,No especificado,Alemania,632.34,4,2023-01-01,Cámaras
INV2023010100,Shelia Meyers,Masculino,Alemania,702.49,6,2023-01-01,Tablets
INV2023010101,Olivia White,Femenino,Italia,368.92,2,2023-01-01,Cámaras
INV2023010102,Sarah Johnson,Masculino,Alemania,218.01,5,2023-01-01,Laptops
INV2023010103,Lauren Rivas,No especificado,Italia,826.97,9,2023-01-01,Consolas
INV2023010104,Curtis Williams,Masculino,Mexico,756.87,3,2023-01-01,Smartphones
INV2023010105,Alyssa Buckley,Masculino,Colombia,986.39,10,2023-01-01,Televisores
INV2023010106,Justin Hernandez,Masculino,Canada,316.04,4,2023-01-01,Consolas
INV2023010107,Lucas Burnett,No especificado,Italia,113.78,4,2023-01-01,Tablets
INV2023010108,Kelly Hernandez,Masculino,Mexico,563.29,1,2023-01-01,Desktops
INV2023010109,Stephen Woods,Femenino,Alemania,888.2,5,2023-01-01,Consolas
INV2023010110,Laura Davila,Masculino,Alemania,389.82,6,2023-01-01,Consolas
INV2023010111,Kathryn Thomas,No especificado,España,96.44,7,2023-01-01,Laptops
INV2023010112,Ashley Joseph,Femenino,Francia,60.99,1,2023-01-01,Consolas
INV2023010113,Janet Carr,No especificado,Mexico,829.26,1,2023-01-01,Desktops
INV2023010114,Paul Smith,Masculino,USA,956.18,7,2023-01-01,Desktops
INV2023010115,Jack Garza,Femenino,Canada,493.07,4,2023-01-01,Laptops
INV2023010116,Kelly Mcdonald,Masculino,Brasil,788.26,5,2023-01-01,Consolas
INV2023010117,Jason Lane,No especificado,Francia,281.0,1,2023-01-01,Desktops
INV2023010118,Keith Smith,No especificado,USA,934.71,5,2023-01-01,Laptops
INV2023010119,Alexandria Williams,Femenino,Argentina,583.07,2,2023-01-01,Smartphones
INV2023010120,Jillian Hudson,Femenino,Mexico,456.37,5,2023-01-01,Consolas
INV2023010121,Dennis Wilson,Femenino,Mexico,287.65,2,2023-01-01,Televisores
INV2023010122,Calvin Jackson,Femenino,Argentina,790.7,3,2023-01-01,Desktops
INV2023010123,Melinda Castillo,Masculino,Italia,645.41,9,2023-01-01,Tablets
INV2023010124,Stanley Walker,Masculino,Canada,235.21,1,2023-01-01,Tablets
INV2023010125,Jamie Lewis,Masculino,Brasil,924.8,10,2023-01-01,Consolas
INV2023010126,Lynn Peterson,No especificado,Italia,778.22,6,2023-01-01,Desktops
INV2023010127,Ashlee Johnson,No especificado,USA,753.8,5,2023-01-01,Tablets
INV2023010128,Alicia Gonzalez,Masculino,Brasil,518.86,4,2023-01-01,Laptops
INV2023010129,Jessica Wilson,Femenino,Alemania,923.93,7,2023-01-01,Consolas
INV2023010130,Darlene Edwards,Femenino,Italia,522.54,3,2023-01-01,Desktops
INV2023010131,Peter Mcgrath,Masculino,España,849.49,6,2023-01-01,Cámaras
INV2023010132,Thomas Hunt,Femenino,Colombia,64.75,8,2023-01-01,Cámaras
INV2023010133,Russell Kelly,No especificado,Alemania,547.19,10,2023-01-01,Smartphones
INV2023010134,Raymond Everett,Femenino,Canada,614.43,6,2023-01-01,Consolas
